v110	v90	v70	v50	v20
74.04	4.37	-2.47	4.18	-0.48
85.79	3.64	-3.27	3.95	-1.22
93.13	4.59	-2.01	3.98	-0.91
102.33	4.47	-1.22	3.80	-0.69
112.61	6.38	1.55	3.87	-0.53
115.09	4.29	2.36	3.25	-1.10
117.14	1.99	3.66	3.72	-1.57
127.52	1.58	5.67	4.05	-0.49
136.72	0.23	5.75	5.09	-0.98
147.53	-0.53	3.71	5.28	-0.85
154.91	-1.82	0.41	4.49	-1.18
157.10	-1.31	1.37	6.11	-1.05
158.41	-2.27	3.60	4.94	-1.13
159.89	-6.13	11.14	6.35	-1.08
162.06	-6.01	10.82	6.49	-1.29
165.23	-8.57	10.44	6.95	-1.30
166.96	-8.56	7.02	7.12	-1.36
170.15	-9.95	6.00	9.00	-0.91
175.51	-10.05	8.07	8.33	-1.34
176.31	-9.78	8.87	8.11	-1.01
174.28	-9.19	11.36	7.58	-1.32
168.42	-9.89	16.03	9.12	-1.32
155.17	-13.12	17.05	10.10	-1.64
141.86	-18.82	14.20	13.34	-1.37
135.45	-24.00	11.57	14.54	-1.08
131.37	-20.55	8.69	14.48	-0.86
128.95	-13.75	12.98	11.48	-1.32
125.72	-11.13	14.77	11.36	-1.27
123.33	-12.39	19.15	11.17	-1.56
122.47	-15.84	14.88	13.22	-1.37
122.28	-17.87	11.18	15.08	-1.15
120.58	-19.84	10.14	16.75	-1.36
117.83	-21.22	12.80	15.74	-1.13
114.42	-18.67	11.64	13.71	-1.60
107.64	-18.60	13.78	14.09	-0.72
99.79	-18.01	13.17	16.55	-1.09
92.70	-18.15	6.60	17.84	-0.76
85.98	-18.65	9.47	17.00	-1.42
82.38	-21.26	10.97	15.67	-1.07
81.46	-24.50	9.38	17.65	-1.25
80.89	-25.36	5.06	17.40	-0.92
78.17	-23.93	8.50	17.60	-0.75
74.62	-18.16	12.71	17.87	-1.18
66.73	-19.54	14.32	17.02	-1.08
58.13	-19.68	11.43	18.53	-0.56
48.64	-19.25	9.38	18.53	-0.76
46.33	-16.12	8.54	16.80	-1.06
45.76	-14.57	8.22	16.37	-0.85
43.79	-15.38	8.62	16.68	-1.20
39.32	-19.91	7.68	16.07	-0.36
30.16	-22.96	11.66	16.77	-0.68
22.16	-23.89	10.00	17.06	-0.50
15.56	-20.08	9.53	19.56	-0.80
13.36	-16.58	11.49	19.69	-1.02
12.45	-15.99	7.35	18.21	-0.54
6.30	-18.50	7.64	16.88	-0.34
1.61	-22.35	8.31	16.39	-0.56
-3.77	-21.24	7.21	14.29	-0.57
-5.93	-19.32	7.07	13.23	-0.47
-8.20	-19.44	6.87	15.84	-0.56
-10.13	-17.80	6.68	18.48	-0.18
-14.00	-17.82	10.27	17.43	-0.28
-19.37	-19.50	10.52	15.57	-0.32
-24.86	-19.78	5.83	14.80	-0.14
-27.06	-16.89	2.17	12.43	-0.39
-28.95	-11.22	7.80	10.96	0.05
-27.15	-6.04	7.25	12.86	0.04
-29.35	-5.89	1.79	13.10	-0.01
-32.80	-6.16	0.96	13.80	-0.06
-38.03	-6.13	0.24	14.98	-0.48
-38.18	-7.18	-0.82	13.55	-0.19
-38.73	-6.97	-0.08	12.58	-0.07
-36.19	-7.26	-0.04	9.88	-0.08
-39.18	-7.20	-1.91	8.94	0.30
-38.04	-7.13	-1.56	8.29	0.47
-43.40	-7.83	-0.34	7.49	0.27
-44.54	-8.19	-0.52	8.83	-0.03
-43.50	-8.04	-0.91	10.27	-0.33
-41.11	-8.09	-0.33	9.44	0.01
-36.09	-8.63	-1.13	7.88	-0.19
-33.52	-8.53	-3.15	8.53	0.02
-34.44	-6.05	-2.70	10.92	0.46
-41.11	-5.15	2.44	9.49	0.20
-42.07	-5.52	1.87	6.08	-0.03
-38.45	-7.77	1.65	5.21	0.04
-33.87	-8.40	1.96	8.29	0.40
-33.47	-8.34	0.45	8.99	0.23
